,name,type,episodes,members,score_members,rating,genre,dates,url
73,Kingdom 3rd Season,TV,,20313.0,2982.0,8.59,"['Action', 'Historical', 'Military', 'Seinen']",        Apr 2020 - ,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
74,Zoku Natsume YuujinchouNatsume's Book of Friends Season 2,TV,13.0,181127.0,93148.0,8.59,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Jan 2009 - Mar 2009,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
75,Ansatsu Kyoushitsu 2nd SeasonAssassination Classroom Second Season,TV,25.0,662089.0,386004.0,8.58,"['Action', 'Comedy', 'School', 'Shounen']",        Jan 2016 - Jul 2016,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
76,Kara no Kyoukai 5: Mujun Rasenthe Garden of sinners Chapter 5: Paradox Paradigm,Movie,1.0,170898.0,95306.0,8.58,"['Action', 'Mystery', 'Supernatural', 'Drama', 'Romance', 'Thriller']",        Aug 2008 - Aug 2008,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen
77,Tengen Toppa Gurren Lagann Movie 2: Lagann-henGurren Lagann The Movie: The Lights in the Sky are Stars,Movie,1.0,150528.0,70007.0,8.58,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']",        Apr 2009 - Apr 2009,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
78,Aria the Origination,TV,13.0,88680.0,22289.0,8.57,"['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']",        Jan 2008 - Apr 2008,https://myanimelist.net/anime/3297/Aria_the_Origination
79,JoJo no Kimyou na Bouken Part 4: Diamond wa KudakenaiJoJo's Bizarre Adventure: Diamond is Unbreakable,TV,39.0,430324.0,266303.0,8.56,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen']",        Apr 2016 - Dec 2016,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
80,Tenki no KoWeathering With You,Movie,1.0,243741.0,98433.0,8.55,"['Slice of Life', 'Drama', 'Romance', 'Fantasy']",        Jul 2019 - Jul 2019,https://myanimelist.net/anime/38826/Tenki_no_Ko
81,Koukaku Kidoutai: Stand Alone Complex 2nd GIGGhost in the Shell: Stand Alone Complex 2nd GIG,TV,26.0,178947.0,83584.0,8.55,"['Action', 'Military', 'Sci-Fi', 'Mystery', 'Police', 'Mecha', 'Seinen']",        Jan 2004 - Jan 2005,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
82,Saiki Kusuo no Ψ-nan 2The Disastrous Life of Saiki K. 2,TV,24.0,222937.0,118874.0,8.55,"['Slice of Life', 'Comedy', 'Supernatural', 'School', 'Shounen']",        Jan 2018 - Jun 2018,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
83,Gintama.: Porori-henGintama.: Slip Arc,TV,13.0,97645.0,46461.0,8.54,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Oct 2017 - Dec 2017,https://myanimelist.net/anime/35843/Gintama__Porori-hen
84,Mo Dao Zu Shi,ONA,15.0,92736.0,26242.0,8.54,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Historical', 'Supernatural']",        Jul 2018 - Oct 2018,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
85,Rainbow: Nisha Rokubou no ShichininRainbow,TV,26.0,263300.0,103483.0,8.54,"['Drama', 'Historical', 'Seinen', 'Thriller']",        Apr 2010 - Sep 2010,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
86,Slam Dunk,TV,101.0,163675.0,74039.0,8.53,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",        Oct 1993 - Mar 1996,https://myanimelist.net/anime/170/Slam_Dunk
87,Steins;Gate 0,TV,23.0,468752.0,182981.0,8.53,"['Sci-Fi', 'Thriller']",        Apr 2018 - Sep 2018,https://myanimelist.net/anime/30484/Steins_Gate_0
88,Steins;Gate Movie: Fuka Ryouiki no Déjà vuSteins;Gate: The Movie − Load Region of Déjà Vu,Movie,1.0,386639.0,227367.0,8.53,"['Sci-Fi', 'Drama']",        Apr 2013 - Apr 2013,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
89,Uchuu KyoudaiSpace Brothers,TV,99.0,130871.0,33996.0,8.53,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']",        Apr 2012 - Mar 2014,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
90,Gintama Movie 1: Shinyaku Benizakura-henGintama: The Movie,Movie,1.0,97863.0,55919.0,8.52,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",        Apr 2010 - Apr 2010,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
91,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd SeasonJoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24.0,437459.0,291448.0,8.52,"['Action', 'Adventure', 'Supernatural', 'Drama', 'Shounen']",        Jan 2015 - Jun 2015,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
92,Boku no Hero Academia 2nd SeasonMy Hero Academia 2,TV,25.0,1189139.0,774576.0,8.51,"['Action', 'Comedy', 'Super Power', 'School', 'Shounen']",        Apr 2017 - Sep 2017,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
93,Hotaru no HakaGrave of the Fireflies,Movie,1.0,349444.0,207859.0,8.51,"['Drama', 'Historical']",        Apr 1988 - Apr 1988,https://myanimelist.net/anime/578/Hotaru_no_Haka
94,Mob Psycho 100,TV,12.0,928552.0,545586.0,8.51,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",        Jul 2016 - Sep 2016,https://myanimelist.net/anime/32182/Mob_Psycho_100
95,Neon Genesis Evangelion: The End of Evangelion,Movie,1.0,445830.0,289316.0,8.51,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",        Jul 1997 - Jul 1997,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
96,Haikyuu!!: To the Top,TV,13.0,237730.0,104357.0,8.5,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",        Jan 2020 - Apr 2020,https://myanimelist.net/anime/38883/Haikyuu__To_the_Top
97,Kaze ga Tsuyoku FuiteiruRun with the Wind,TV,23.0,141883.0,61345.0,8.5,"['Comedy', 'Sports', 'Drama']",        Oct 2018 - Mar 2019,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
98,Samurai Champloo,TV,26.0,744019.0,389697.0,8.5,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",        May 2004 - Mar 2005,https://myanimelist.net/anime/205/Samurai_Champloo
99,NichijouNichijou - My Ordinary Life,TV,26.0,539916.0,210561.0,8.49,"['Slice of Life', 'Comedy', 'School', 'Shounen']",        Apr 2011 - Sep 2011,https://myanimelist.net/anime/10165/Nichijou
100,Saiki Kusuo no Ψ-nanThe Disastrous Life of Saiki K.,TV,120.0,374327.0,182553.0,8.49,"['Comedy', 'School', 'Shounen', 'Slice of Life', 'Supernatural']",        Jul 2016 - Dec 2016,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
101,Shingeki no Kyojin Season 3Attack on Titan Season 3,TV,12.0,739153.0,412825.0,8.49,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",        Jul 2018 - Oct 2018,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
