Unnamed: 0,name,type,episodes,members,score_members,rating,genre,dates,url
28,Yuru Yuri Nachuyachumi!+,Special,2.0,39946.0,21198.0,7.81,"['Slice of Life', 'Comedy', 'Shoujo Ai']",        Aug 2015 - Sep 2015,https://myanimelist.net/anime/30902/Yuru_Yuri_Nachuyachumi_
29,Berserk: Ougon Jidai-hen I - Haou no TamagoBerserk: The Golden Age Arc I - The Egg of the King,Movie,1.0,143922.0,93096.0,7.8,"['Action', 'Military', 'Adventure', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",        Feb 2012 - Feb 2012,https://myanimelist.net/anime/10218/Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago
30,City Hunter '91,TV,13.0,12331.0,5290.0,7.79,"['Action', 'Comedy', 'Mystery', 'Shounen']",        Apr 1991 - Oct 1991,https://myanimelist.net/anime/1473/City_Hunter_91
31,Claymore,TV,26.0,493220.0,243850.0,7.8,"['Action', 'Adventure', 'Super Power', 'Demons', 'Supernatural', 'Fantasy', 'Shounen']",        Apr 2007 - Sep 2007,https://myanimelist.net/anime/1818/Claymore
32,D.Gray-man Hallow,TV,13.0,139743.0,55361.0,7.8,"['Action', 'Adventure', 'Super Power', 'Demons', 'Shounen']",        Jul 2016 - Sep 2016,https://myanimelist.net/anime/32370/DGray-man_Hallow
33,Densetsu Kyojin Ideon: Hatsudou-henThe Ideon: Be Invoked,Movie,1.0,5666.0,2095.0,7.8,"['Sci-Fi', 'Space', 'Drama', 'Mecha']",        Jul 1982 - Jul 1982,https://myanimelist.net/anime/2761/Densetsu_Kyojin_Ideon__Hatsudou-hen
34,Final Fantasy VII: Advent Children,Movie,1.0,181255.0,125029.0,7.79,"['Action', 'Super Power', 'Fantasy']",        Sep 2005 - Sep 2005,https://myanimelist.net/anime/317/Final_Fantasy_VII__Advent_Children
35,"Gate: Jieitai Kanochi nite, Kaku TatakaeriGATE",TV,12.0,517168.0,288370.0,7.8,"['Action', 'Adventure', 'Fantasy', 'Military']",        Jul 2015 - Sep 2015,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri
36,Hanasakeru Seishounen,TV,39.0,52682.0,19256.0,7.8,"['Drama', 'Romance', 'Shoujo']",        Apr 2009 - Feb 2010,https://myanimelist.net/anime/5835/Hanasakeru_Seishounen
37,Hybrid Child,OVA,4.0,52246.0,25316.0,7.8,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']",        Oct 2014 - Jan 2015,https://myanimelist.net/anime/11135/Hybrid_Child
